Diptera,Drosophilidae,Drosophila busckii,[30019](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30019 "NCBI Taxonomy DB Record"),NA,[38276](https://www.ncbi.nlm.nih.gov/genome/?term=38276 "NCBI Genome DB Record")
Diptera,Drosophilidae,Drosophila elegans,[30023](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30023 "NCBI Taxonomy DB Record"),NA,[3490](https://www.ncbi.nlm.nih.gov/genome/?term=3490 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Hemiptera,Psyllidae,Pachypsylla venusta,[38123](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=38123 "NCBI Taxonomy DB Record"),hackberry petiole gall psyllid,[14032](https://www.ncbi.nlm.nih.gov/genome/?term=14032 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Drosophilidae,Drosophila kikkawai,[30033](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30033 "NCBI Taxonomy DB Record"),NA,[3492](https://www.ncbi.nlm.nih.gov/genome/?term=3492 "NCBI Genome DB Record"),[i5k Workspace](https://i5k.nal.usda.gov/ "i5k Workspace"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles koliensis,[30065](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30065 "NCBI Taxonomy DB Record"),NA,[36653](https://www.ncbi.nlm.nih.gov/genome/?term=36653 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles merus,[30066](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30066 "NCBI Taxonomy DB Record"),NA,[11548](https://www.ncbi.nlm.nih.gov/genome/?term=11548 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles punctulatus,[30068](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30068 "NCBI Taxonomy DB Record"),NA,[36652](https://www.ncbi.nlm.nih.gov/genome/?term=36652 "NCBI Genome DB Record"),[InsectBase](http://www.insect-genome.com/ "InsectBase")
Diptera,Culicidae,Anopheles stephensi,[30069](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30069 "NCBI Taxonomy DB Record"),Asian malaria mosquito,[2653](https://www.ncbi.nlm.nih.gov/genome/?term=2653 "NCBI Genome DB Record"),[VectorBase](https://www.vectorbase.org/ "VectorBase"); [VectorBase](https://www.vectorbase.org/ "VectorBase"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
Hymenoptera,Apidae,Bombus terrestris,[30195](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=30195 "NCBI Taxonomy DB Record"),large earth bumblebee,[2739](https://www.ncbi.nlm.nih.gov/genome/?term=2739 "NCBI Genome DB Record"),[Hymenoptera Genome Database](http://hymenopteragenome.org/ "Hymenoptera Genome Database"); [InsectBase](http://www.insect-genome.com/ "InsectBase")
NA,Tetranychidae,Tetranychus urticae,[32264](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=32264 "NCBI Taxonomy DB Record"),red spider mite; twospotted mite,[2710](https://www.ncbi.nlm.nih.gov/genome/?term=2710 "NCBI Genome DB Record")
Lepidoptera,Nymphalidae,Heliconius ethilla,[33418](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=33418 "NCBI Taxonomy DB Record"),NA,[42293](https://www.ncbi.nlm.nih.gov/genome/?term=42293 "NCBI Genome DB Record")
Oribatida,Hypochthoniidae,Hypochthonius rufulus,[66581](https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?id=66581 "NCBI Taxonomy DB Record"),NA,[37200](https://www.ncbi.nlm.nih.gov/genome/?term=37200 "NCBI Genome DB Record")
